時間,成交價,成交張數
11:24:00,"1,175",1
11:23:50,"1,175",2
11:23:30,"1,175",1
11:22:55,"1,170",2
11:22:15,"1,170",5
11:22:10,"1,170",3
11:22:00,"1,170",3
11:21:55,"1,175",1
11:21:50,"1,175",1
11:21:30,"1,170",1
11:21:20,"1,170",1
11:21:15,"1,175",1
11:21:10,"1,175",4
11:20:55,"1,170",2
11:20:40,"1,175",2
11:20:30,"1,170",2
11:20:25,"1,175",2
11:20:15,"1,170",10
11:19:55,"1,170",2
11:19:25,"1,170",2
11:19:15,"1,175",1
11:19:05,"1,175",1
11:19:00,"1,175",5
11:18:50,"1,175",1
11:18:45,"1,170",1
11:18:40,"1,175",2
11:18:35,"1,175",2
11:18:15,"1,175",2
11:18:10,"1,175",177
11:18:05,"1,170",3
11:18:00,"1,170",9
11:17:30,"1,170",2
11:17:20,"1,170",1
11:17:10,"1,170",1
11:17:05,"1,170",2
11:16:55,"1,170",2
11:16:00,"1,165",2
11:15:35,"1,165",1
11:15:30,"1,165",2
11:15:25,"1,165",1
11:15:20,"1,165",6
11:15:10,"1,170",2
11:14:30,"1,170",1
11:14:10,"1,165",1
11:13:50,"1,165",1
11:13:25,"1,170",4
11:13:20,"1,170",1
11:13:00,"1,170",1
11:12:50,"1,170",1
11:12:35,"1,170",3
11:12:25,"1,170",2
11:12:10,"1,165",1
11:12:00,"1,165",1
11:11:45,"1,170",2
11:11:30,"1,170",11
11:11:15,"1,170",1
11:10:45,"1,170",1
11:10:35,"1,170",1
11:10:25,"1,170",2
11:10:00,"1,170",4
11:09:35,"1,170",1
11:09:25,"1,165",1
11:09:20,"1,165",1
11:09:05,"1,165",2
11:08:35,"1,165",1
11:08:30,"1,170",1
11:08:25,"1,165",1
11:08:15,"1,170",2
11:08:05,"1,165",6
11:07:55,"1,165",1
11:07:45,"1,165",2
11:07:10,"1,165",1
11:07:00,"1,165",2
11:06:55,"1,165",1
11:06:30,"1,170",2
11:06:25,"1,165",1
11:05:50,"1,170",1
11:05:40,"1,170",4
11:05:30,"1,165",5
11:05:25,"1,165",1
11:05:15,"1,165",1
11:05:05,"1,165",1
11:05:00,"1,165",3
11:04:50,"1,165",1
11:04:45,"1,170",2
11:04:35,"1,165",1
11:04:05,"1,165",1
11:04:00,"1,165",1
11:03:50,"1,165",1
11:03:35,"1,165",8
11:03:30,"1,165",2
11:03:25,"1,165",21
11:03:05,"1,165",2
11:03:00,"1,170",2
11:02:55,"1,165",1
11:02:20,"1,165",6
11:02:10,"1,170",5
11:02:00,"1,170",1
11:01:50,"1,165",3
11:01:20,"1,165",1
11:01:15,"1,170",2
11:01:10,"1,170",1
10:59:55,"1,170",2
10:59:45,"1,170",1
10:59:35,"1,170",2
10:59:15,"1,165",1
10:58:45,"1,170",3
10:58:25,"1,165",1
10:58:10,"1,170",5
10:57:55,"1,170",1
10:57:50,"1,165",4
10:57:25,"1,165",1
10:56:50,"1,165",1
10:56:25,"1,170",1
