時間,成交價,成交張數
12:18:10,170.0,20
12:18:05,170.0,19
12:18:00,170.0,30
12:17:55,170.0,60
12:17:50,170.0,12
12:17:45,170.0,3
12:17:40,170.5,13
12:17:35,170.0,6
12:17:30,170.0,30
12:17:25,170.0,16
12:17:20,170.0,14
12:17:15,170.0,18
12:17:10,170.0,4
12:17:05,170.0,5
12:17:00,170.0,6
12:16:55,170.0,13
12:16:50,170.0,2
12:16:45,170.0,13
12:16:40,170.0,2
12:16:35,170.0,1
12:16:30,170.0,13
12:16:25,170.0,7
12:16:20,170.0,5
12:16:15,170.0,2
12:16:10,170.0,6
12:16:05,170.0,2
12:16:00,170.0,9
12:15:55,170.0,50
12:15:50,170.0,22
12:15:40,170.0,6
12:15:35,170.0,10
12:15:30,170.0,4
12:15:25,170.0,13
12:15:20,170.0,15
12:15:15,170.0,30
12:15:10,170.0,8
12:15:05,170.0,15
12:15:00,170.0,20
12:14:55,170.0,75
12:14:50,170.0,78
12:14:45,170.0,7
12:14:40,170.0,3
12:14:35,170.0,7
12:14:30,170.0,7
12:14:25,170.0,2
12:14:20,170.0,63
12:14:15,170.0,29
12:14:10,170.0,10
12:14:05,170.0,20
12:14:00,170.0,20
12:13:55,170.0,4
12:13:50,170.0,18
12:13:45,170.0,59
12:13:40,170.0,3
12:13:35,170.0,6
12:13:30,170.5,8
12:13:25,170.0,13
12:13:20,170.0,8
12:13:15,170.0,77
12:13:10,170.0,4
12:13:05,170.0,8
12:13:00,170.0,9
12:12:55,170.0,1
12:12:50,170.0,10
12:12:45,170.0,22
12:12:35,170.5,4
12:12:30,170.0,18
12:12:20,170.0,7
12:12:15,170.0,5
12:12:10,170.0,2
12:12:00,170.0,3
12:11:55,170.0,2
12:11:50,170.0,9
12:11:45,170.0,1
12:11:40,170.0,1
12:11:35,170.0,5
12:11:30,170.0,7
12:11:25,170.0,5
12:11:20,170.0,7
12:11:15,170.0,4
12:11:10,170.0,3
12:11:05,170.0,2
12:11:00,170.0,4
12:10:50,170.0,1
12:10:45,170.0,4
12:10:40,170.0,5
12:10:35,170.0,8
12:10:30,170.0,15
12:10:25,170.0,1
12:10:10,170.0,6
12:10:05,170.0,2
12:10:00,170.0,7
12:09:55,170.0,1
12:09:50,170.5,46
12:09:45,170.0,4
12:09:40,170.0,1
12:09:35,170.0,3
12:09:30,170.0,5
12:09:25,170.0,1
12:09:20,170.0,2
12:09:15,170.0,3
12:09:10,170.0,5
12:09:05,170.0,2
12:09:00,170.0,6
12:08:55,170.0,1
12:08:50,170.0,3
12:08:45,170.0,5
12:08:40,170.0,44
12:08:35,170.0,7
12:08:30,170.0,4
12:08:25,170.0,3
12:08:20,170.0,7
12:08:15,170.0,3
12:08:10,170.0,4
12:08:05,170.0,4
12:08:00,170.0,7
12:07:55,170.0,1
12:07:50,170.0,11
12:07:45,170.0,2
12:07:40,170.0,9
12:07:35,170.0,22
12:07:30,170.0,5
12:07:25,170.0,8
12:07:20,170.0,3
12:07:15,170.0,3
12:07:10,170.0,7
12:07:05,170.5,2
12:07:00,170.0,9
12:06:55,170.0,8
12:06:50,170.0,106
12:06:40,170.0,20
12:06:35,170.0,3
12:06:30,170.0,12
12:06:20,170.0,1
12:06:15,170.0,5
12:06:05,170.0,1
12:06:00,170.0,12
12:05:55,170.0,5
12:05:50,170.0,2
12:05:45,170.0,1
12:05:40,170.5,22
12:05:30,170.0,5
12:05:25,170.0,6
12:05:20,170.0,5
12:05:15,170.0,2
12:05:10,170.0,11
12:05:05,170.0,1
12:05:00,170.0,5
12:04:55,170.5,3
12:04:50,170.5,2
12:04:45,170.0,8
12:04:40,170.0,10
12:04:30,170.0,6
12:04:20,170.0,2
12:04:15,170.0,2
12:04:10,170.0,5
12:04:05,170.0,7
12:04:00,170.0,3
12:03:55,170.0,1
12:03:50,170.0,4
12:03:45,170.5,59
12:03:40,170.0,3
12:03:35,170.5,1
12:03:30,170.0,2
12:03:25,170.0,2
12:03:20,170.0,3
12:03:10,170.0,4
12:03:00,170.0,4
12:02:55,170.0,1
12:02:50,170.5,2
12:02:40,170.0,2
12:02:30,170.0,8
12:02:25,170.0,5
12:02:20,170.0,8
12:02:15,170.0,2
12:02:10,170.5,2
12:02:05,170.0,3
12:02:00,170.0,5
12:01:55,170.0,2
12:01:50,170.0,12
12:01:45,170.5,3
12:01:40,170.0,3
12:01:30,170.0,7
12:01:25,170.0,10
12:01:20,170.0,2
12:01:15,170.0,2
12:01:10,170.0,3
12:01:05,170.0,2
12:01:00,170.0,3
12:00:55,170.0,2
12:00:50,170.5,2
12:00:45,170.0,2
12:00:40,170.5,1
12:00:35,170.0,8
12:00:30,170.0,7
12:00:20,170.0,1
12:00:15,170.0,11
12:00:05,170.0,1
12:00:00,170.0,5
11:59:55,170.0,15
11:59:50,170.0,3
11:59:45,170.0,2
11:59:40,170.0,4
11:59:30,170.0,3
11:59:25,170.0,2
